Название_позиции,Ключевые_слова,Описание,Тип_товара,Цена,Валюта,Единица_измерения,Ссылка_изображения,Наличие,Идентификатор_товара
Деревянная четырехсекционная чердачная лестница FAKRO LWS Smart 94х60,Чердачные лестницы FAKRO,"<div data-qaid=""product_description"" itemprop=""description""><h2>Четырехсекционная чердачная лестница FAKRO LWS Smart</h2> <p> --- Fakro  LWS Smart – это модель с четырехсегментной лестницей и крышкой с термоизоляционными свойствами. Данная лестница впишется в любой интерьер, так как ее можно окрасить или оклеить в любой цвет и текстуру. </p> <h3>Комплектация лестницы на чердак Fakro  LWS Smart:</h3> <ul> <li>крышка бежевого цвета;</li> <li>контурный уплотнитель;</li> <li>ступеньки с противоскользящими засечками;</li> <li>возможен монтаж дополнительных аксессуаров.</li> </ul> <p>При покупке Вы получаете уже полностью собранную лестницу, готовую к монтажу в перекрытие.</p> <h3>Технические характеристики:</h3> <ul> <li>Максимальная высота помещения, см: 280;</li> <li>Максимальный вынос лестницы, см: 120;</li> <li>Радиус открывания лестницы, см: 138;</li> <li>Высота  --- в закрытом положении, см: 42;</li> <li>Допустимая нагрузка, кг: 160;</li> <li>Крышка – панель типа «сэндвич», мм: 360;</li> <li>Наличие прокладки на коробке: да;</li> <li>Высота короба, мм: 140;</li> <li>Цвет крышки люка: не окрашена;</li> <li>Сопротивление теплопередаче: 0.91;</li> <li>Гарантия: 3 года.</li> </ul></div>",u,"3 683,68",UAH,шт,https://images.ua.prom.st/494631741_w640_h640_cid1051305_pid347436668-da626c21.jpg,+,102368514
Деревянная четырехсекционная чердачная лестница FAKRO LWK Komfort 94х60,Чердачные лестницы FAKRO,"<div data-qaid=""product_description"" itemprop=""description""><p>Складная деревянная лестница на чердак  --- LWK Komfort – это модель с четырьмя секциями, которые достаточно компактны, чтобы храниться в потолке. Для того, чтобы обезопасить пользователя во время эксплуатации, сбоку лестницы LWK Komfort установлен металлический поручень, а на ножках есть специальные резиновые наконечники, которые предотвратят повреждение пола и сделают лестницу еще устойчивее. За счет того, что термоизоляционная крышка люка имеет белый цвет, она станет незаметной на светлом потолке. </p> <p>Боковые направляющие и ступеньки   --- соединены по типу “ласточкин хвост”, что обеспечивает прочную и надежную конструкцию. Крышка лестницы не соприкачается со ступеньками. В комплекте с крепежнымы элементами лестницы поставляется специальный трафарет и угловые петли-шарниры, которые дают возможность точно откорректировать высоту конструкции до необходимого размера.</p> <h2>Технические характеристики лестницы LWK Komfort:</h2> <ul> <li>Максимальная высота помещения, см: 280;</li> <li>Максимальный вынос лестницы, см: 120;</li> <li>Радиус открывания лестницы, см: 138;</li> <li>Высота лестницы в закрытом положении, см: 42;</li> <li>Допустимая нагрузка, кг: 160;</li> <li>Крышка – панель типа «сэндвич», мм: 360;</li> <li>Наличие прокладки на коробке: да;</li> <li>Высота короба, мм: 140;</li> <li>Цвет крышки люка: белый;</li> <li>Сопротивление теплопередаче: 0.91;</li> <li>Гарантия: 3 года.</li> </ul></div>",u,"4 209,92",UAH,шт,https://images.ua.prom.st/494631759_w640_h640_cid1051305_pid347436674-b99c06a2.jpg,+,684912733
Деревянная трехсекционная чердачная лестница FAKRO LWK Komfort 130х70 (305 см.),Чердачные лестницы FAKRO,"<div data-qaid=""product_description"" itemprop=""description""><p>Складная деревянная лестница на чердак Fakro LWK Komfort – это модель с тремя секциями, которые достаточно компактны, чтобы храниться в потолке. Для того, чтобы обезопасить пользователя во время эксплуатации, сбоку  --- LWK Komfort установлен металлический поручень, а на ножках есть специальные резиновые наконечники, которые предотвратят повреждение пола и сделают лестницу еще устойчивее. За счет того, что термоизоляционная крышка люка имеет белый цвет, она станет незаметной на светлом потолке. </p> <p>Боковые направляющие и ступеньки лестницы соединены по типу “ласточкин хвост”, что обеспечивает прочную и надежную конструкцию. Крышка лестницы не соприкачается со ступеньками, а антискользящие насечки гарантируют безопасное использование. В комплекте с крепежнымы элементами  --- поставляется специальный трафарет и угловые петли-шарниры, которые дают возможность точно откорректировать высоту конструкции до необходимого размера.</p> <h2>Технические характеристики лестницы LWK Komfort:</h2> <ul> <li>Максимальная высота помещения, см: 305;</li> <li>Максимальный вынос лестницы, см: 130;</li> <li>Радиус открывания лестницы, см: 179;</li> <li>Высота лестницы в закрытом положении, см: 34;</li> <li>Допустимая нагрузка, кг: 160;</li> <li>Крышка – панель типа «сэндвич», мм: 360;</li> <li>Наличие прокладки на коробке: да;</li> <li>Высота короба, мм: 140;</li> <li>Цвет крышки люка: белый;</li> <li>Сопротивление теплопередаче: 0.91;</li> <li>Гарантия: 3 года.</li> </ul></div>",u,"4 530,24",UAH,шт,https://images.ua.prom.st/494631780_w640_h640_cid1051305_pid347436678-5bbe2cd5.jpg,+,514044115
Деревянная трехсекционная чердачная лестница FAKRO LWK Komfort 120х70,Чердачные лестницы FAKRO,"<div data-qaid=""product_description"" itemprop=""description""><p>Складная  --- LWK Komfort – это модель с тремя секциями, которые достаточно компактны, чтобы храниться в потолке. Для того, чтобы обезопасить пользователя во время эксплуатации, сбоку лестницы LWK Komfort установлен металлический поручень, а на ножках есть специальные резиновые наконечники, которые предотвратят повреждение пола и сделают лестницу еще устойчивее. За счет того, что термоизоляционная крышка люка имеет белый цвет, она станет незаметной на светлом потолке. </p> <p>Боковые направляющие и ступеньки лестницы соединены по типу “ласточкин хвост”, что обеспечивает прочную и надежную конструкцию. Крышка лестницы не соприкачается со ступеньками, а антискользящие насечки гарантируют безопасное использование. В комплекте с крепежнымы элементами  --- поставляется специальный трафарет и угловые петли-шарниры, которые дают возможность точно откорректировать высоту конструкции до необходимого размера.</p> <h2>Технические характеристики лестницы LWK Komfort:</h2> <ul> <li>Максимальная высота помещения, см: 280;</li> <li>Максимальный вынос лестницы, см: 121;</li> <li>Радиус открывания лестницы, см: 162;</li> <li>Высота лестницы в закрытом положении, см: 34;</li> <li>Допустимая нагрузка, кг: 160;</li> <li>Крышка – панель типа «сэндвич», мм: 360;</li> <li>Наличие прокладки на коробке: да;</li> <li>Высота короба, мм: 140;</li> <li>Цвет крышки люка: белый;</li> <li>Сопротивление теплопередаче: 0.91;</li> <li>Гарантия: 3 года.</li> </ul></div>",u,"3 477,76",UAH,шт,https://images.ua.prom.st/494631769_w640_h640_cid1051305_pid347436676-be37a8b6.jpg,+,966887240
Деревянная трехсекционная чердачная лестница FAKRO LWS Smart 130х70 (305 см.),Чердачные лестницы FAKRO,"<div data-qaid=""product_description"" itemprop=""description""><h2>Трехсекционная чердачная лестница FAKRO LWS Smart</h2> <p> --- LWS Smart – это модель с трехсегментной лестницей и крышкой с термоизоляционными свойствами. Данная лестница впишется в любой интерьер, так как ее можно окрасить или оклеить в любой цвет и текстуру. </p> <h3>Комплектация лестницы на чердак Fakro LWS Smart:</h3> <ul> <li>крышка бежевого цвета;</li> <li>контурный уплотнитель;</li> <li>ступеньки с противоскользящими засечками;</li> <li>возможен монтаж дополнительных аксессуаров.</li> </ul> <p>При покупке Вы получаете уже полностью собранную лестницу, готовую к монтажу в перекрытие.</p> <h3>Технические характеристики:</h3> <ul> <li>Максимальная высота помещения, см: 305;</li> <li>Максимальный вынос  ---, см: 130;</li> <li>Радиус открывания лестницы, см: 179;</li> <li>Высота лестницы в закрытом положении, см: 34;</li> <li>Допустимая нагрузка, кг: 160;</li> <li>Крышка – панель типа «сэндвич», мм: 360;</li> <li>Наличие прокладки на коробке: да;</li> <li>Высота короба, мм: 140;</li> <li>Цвет крышки люка: не окрашена;</li> <li>Сопротивление теплопередаче: 0.91;</li> <li>Гарантия: 3 года.</li> </ul></div>",u,"4 141,28",UAH,шт,https://images.ua.prom.st/494631753_w640_h640_cid1051305_pid347436672-b9118db0.jpg,+,397089115
Деревянная трехсекционная чердачная лестница FAKRO LTK Thermo 120х60,Чердачные лестницы FAKRO,"<div data-qaid=""product_description"" itemprop=""description""><h2>Трехсекционная чердачная лестница FAKRO LTK Termo</h2> <p> --- LTK Thermo создана из высококачественной сосны, а ее крышка обладает повышенными теплоизоляционными свойствами. Предназначается эта модель для домов с неотапливаемыми чердаками, так как термоизоляционные возможности крышки не позволят холоду проникнуть в помещение. Чердачная лестница имеет три секции, они достаточно компактны в сложенном виде и “хранятся в потолке”.</p> <p>Для того, чтобы обезопасить пользователя во время эксплуатации, сбоку  --- LTK Thermo установлен металлический поручень, а на ножках есть специальные резиновые наконечники, которые предотвратят повреждение пола и сделают лестницу еще устойчивее. За счет того, что термоизоляционная крышка люка имеет белый цвет, она станет незаметной на светлом потолке. </p> <p>Боковые направляющие и ступеньки лестницы соединены по типу “ласточкин хвост”, что обеспечивает прочную и надежную конструкцию. Крышка лестницы не соприкачается со ступеньками, а антискользящие насечки гарантируют безопасное использование.</p> <h3>Технические характеристики:</h3> <ul> <li>Максимальная высота помещения, см: 280;</li> <li>Максимальный вынос лестницы, см: 167;</li> <li>Радиус открывания лестницы, см: 121;</li> <li>Высота лестницы в закрытом положении, см: 37;</li> <li>Допустимая нагрузка, кг: 160;</li> <li>Крышка – панель типа «сэндвич», мм: 360;</li> <li>Наличие прокладки на коробке: да;</li> <li>Высота короба, мм: 140;</li> <li>Цвет крышки люка: белый;</li> <li>Сопротивление теплопередаче: 1,32;</li> <li>Гарантия: 3 года.</li> </ul></div>",u,"4 164,16",UAH,шт,https://images.ua.prom.st/494631790_w640_h640_cid1051305_pid347436680-da3db7ae.jpg,+,52287668
Деревянная трехсекционная чердачная лестница FAKRO LTK Thermo 130х70,Чердачные лестницы FAKRO,"<div data-qaid=""product_description"" itemprop=""description""><h2>Трехсекционная чердачная лестница FAKRO LTK Termo</h2> <p> --- Fakro LTK Thermo создана из высококачественной сосны, а ее крышка обладает повышенными теплоизоляционными свойствами. Предназначается эта модель для домов с неотапливаемыми чердаками, так как термоизоляционные возможности крышки не позволят холоду проникнуть в помещение. Чердачная лестница имеет три секции, они достаточно компактны в сложенном виде и “хранятся в потолке”.</p> <p>Для того, чтобы обезопасить пользователя во время эксплуатации, сбоку  --- LTK Thermo установлен металлический поручень, а на ножках есть специальные резиновые наконечники, которые предотвратят повреждение пола и сделают лестницу еще устойчивее. За счет того, что термоизоляционная крышка люка имеет белый цвет, она станет незаметной на светлом потолке. </p> <p>Боковые направляющие и ступеньки лестницы соединены по типу “ласточкин хвост”, что обеспечивает прочную и надежную конструкцию. Крышка лестницы не соприкачается со ступеньками, а антискользящие насечки гарантируют безопасное использование.</p> <h3>Технические характеристики:</h3> <ul> <li>Максимальная высота помещения, см: 280;</li> <li>Максимальный вынос лестницы, см: 167;</li> <li>Радиус открывания лестницы, см: 121;</li> <li>Высота лестницы в закрытом положении, см: 37;</li> <li>Допустимая нагрузка, кг: 160;</li> <li>Крышка – панель типа «сэндвич», мм: 360;</li> <li>Наличие прокладки на коробке: да;</li> <li>Высота короба, мм: 140;</li> <li>Цвет крышки люка: белый;</li> <li>Сопротивление теплопередаче: 1,32;</li> <li>Гарантия: 3 года.</li> </ul></div>",u,"4 621,76",UAH,шт,https://images.ua.prom.st/494631796_w640_h640_cid1051305_pid347436682-2938d676.jpg,+,137501086
Металлическая раздвижная чердачная лестница FAKRO LST 120х60,Чердачные лестницы FAKRO,"<div data-qaid=""product_description"" itemprop=""description""><h2>Чердачная металлическая лестница Fakro LST</h2> <p> --- LST имеет “ножничную” систему складывания, благодаря чему достаточно компактна в сложенном виде. Модель оснащена энергосберегающей крышкой белого цвета в высокими термоизоляционными свойствами. По периметру люка складной лестницы идет контур уплотнения, который гарантирует отличную герметичность. Роль поручней выполняют S-образные боковые элементы металлической лестницы Fakro LST, одновременно придавая модели современный вид.</p> <p>Лестницу рекомендуется устанавлавить а помещениях с высотой 260-280 см. Если необходимо увеличить высоту  ---, всегда есть возможность купить ступеньки LSS (при покупке учесть шиирну люка либо ширину ступеньки). Максимально возможное количество дополнительных ступеней – 2.</p> <h2>Технические характеристики лестницы Fakro LST:</h2> <ul> <li>Максимальная высота помещения, см: 280;</li> <li>Максимальный вынос лестницы, см: 150;</li> <li>Радиус открывания лестницы, см: 134-137;</li> <li>Высота лестницы в закрытом положении, см: 38,2;</li> <li>Допустимая нагрузка, кг: 200;</li> <li>Крышка – панель типа «сэндвич», мм: 360;</li> <li>Наличие прокладки на коробке: да;</li> <li>Высота короба, мм: 180;</li> <li>Цвет крышки люка: белый;</li> <li>Сопротивление теплопередаче: 0,91;</li> <li>Гарантия: 3 года.</li> </ul> <iframe allowfullscreen="""" frameborder=""0"" height=""315"" src=""https://www.youtube.com/embed/UWQyTxmYNcU?rel=0&amp;wmode=transparent"" width=""560""></iframe></div>",u,7 124,UAH,шт,https://images.ua.prom.st/494634663_w640_h640_cid1051305_pid347436686-0ceb1d1e.jpg,+,979397305
Металлическая трехсекционная чердачная лестница FAKRO LMK Komfort 120х70,Чердачные лестницы FAKRO,"<div data-qaid=""product_description"" itemprop=""description""><p>Трехсекционная металлическая чердачная лестница Fakro LMK Komfort</p> <p> --- LMK Komfort – это трехсекционная металлическая чердачная лестница, характеризуется своей простотой и надежностью. Комфортность эксплуатации обеспечивается наличием красного металлического поручня, крышкой люка с термоизоляционными свойствами и специальными накладками из пластика на ножках (они уберегут пол от повреждений). Модель идеально подходит для помещений с большим перепадом температур между помещением и мансардой (чердаком), надежно защищая от потерь тепла.</p> <p>Направляющие и ступеньки металлических лестниц надежно скреплены между собой, поэтому на чердак без проблем сможет подняться человек любой комплекции. Максимальная нагрузка, которую сможет выдержать данная модель – 200 кг. Противоскользящие насечки обеспечать дополнительную безопасность при использовании. У  --- Fakro LMK Komfort есть возможность регулировки высоты, а в сложенном виде они становятся компактными: храняться находятся за потолком и не занимают пространство в помещении.</p> <h2>Технические характеристики:</h2> <ul> <li>Максимальная высота помещения, см: 280;</li> <li>Максимальный вынос лестницы, см: 157;</li> <li>Радиус открывания лестницы, см: 118,5;</li> <li>Высота лестницы в закрытом положении, см: 25,5;</li> <li>Допустимая нагрузка, кг: 160;</li> <li>Крышка – панель типа «сэндвич», мм: 360;</li> <li>Наличие прокладки на коробке: да;</li> <li>Высота короба, мм: 140;</li> <li>Цвет крышки люка: белый;</li> <li>Сопротивление теплопередаче: 0,91;</li> <li>Гарантия: 3 года.</li> </ul></div>",u,"4 781,92",UAH,шт,https://images.ua.prom.st/835797710_w640_h640_cid1051305_pid347436684-62c69c61.jpg,+,102774969
Деревянная трехсекционная чердачная лестница FAKRO LWK Komfort 120х60,Чердачные лестницы FAKRO,"<div data-qaid=""product_description"" itemprop=""description""><p>Складная деревянная  --- LWK Komfort – это модель с тремя секциями, которые достаточно компактны, чтобы храниться в потолке. Для того, чтобы обезопасить пользователя во время эксплуатации, сбоку  --- LWK Komfort установлен металлический поручень, а на ножках есть специальные резиновые наконечники, которые предотвратят повреждение пола и сделают лестницу еще устойчивее. За счет того, что термоизоляционная крышка люка имеет белый цвет, она станет незаметной на светлом потолке. </p> <p>Боковые направляющие и ступеньки лестницы соединены по типу “ласточкин хвост”, что обеспечивает прочную и надежную конструкцию. Крышка лестницы не соприкачается со ступеньками, а антискользящие насечки гарантируют безопасное использование. В комплекте с крепежнымы элементами лестницы поставляется специальный трафарет и угловые петли-шарниры, которые дают возможность точно откорректировать высоту конструкции до необходимого размера.</p> <h2>Технические характеристики лестницы LWK Komfort:</h2> <ul> <li>Максимальная высота помещения, см: 280;</li> <li>Максимальный вынос лестницы, см: 121;</li> <li>Радиус открывания лестницы, см: 162;</li> <li>Высота лестницы в закрытом положении, см: 34;</li> <li>Допустимая нагрузка, кг: 160;</li> <li>Крышка – панель типа «сэндвич», мм: 360;</li> <li>Наличие прокладки на коробке: да;</li> <li>Высота короба, мм: 140;</li> <li>Цвет крышки люка: белый;</li> <li>Сопротивление теплопередаче: 0.91;</li> <li>Гарантия: 3 года.</li> </ul></div>",u,"3 020,16",UAH,шт,https://images.ua.prom.st/494631764_w640_h640_cid1051305_pid347436675-f2a80c17.jpg,+,613534315
Деревянная трехсекционная чердачная лестница FAKRO LWS Smart 120х60,Чердачные лестницы FAKRO,"<div data-qaid=""product_description"" itemprop=""description""><h2>Трехсекционная чердачная лестница FAKRO LWS Smart</h2> <p> --- LWS Smart – это модель с трехсегментной лестницей и крышкой с термоизоляционными свойствами. Данная лестница впишется в любой интерьер, так как ее можно окрасить или оклеить в любой цвет и текстуру. </p> <h3>Комплектация лестницы на чердак Fakro LWS Smart:</h3> <ul> <li>крышка бежевого цвета;</li> <li>контурный уплотнитель;</li> <li>ступеньки с противоскользящими засечками;</li> <li>возможен монтаж дополнительных аксессуаров.</li> </ul> <p>При покупке Вы получаете уже полностью собранную лестницу, готовую к монтажу в перекрытие.</p> <h3>Технические характеристики:</h3> <ul> <li>Максимальная высота помещения, см: 280;</li> <li>Максимальный вынос лестницы, см: 121;</li> <li>Радиус открывания лестницы, см: 162;</li> <li>Высота  --- Fakro в закрытом положении, см: 34;</li> <li>Допустимая нагрузка, кг: 160;</li> <li>Крышка – панель типа «сэндвич», мм: 360;</li> <li>Наличие прокладки на коробке: да;</li> <li>Высота короба, мм: 140;</li> <li>Цвет крышки люка: не окрашена;</li> <li>Сопротивление теплопередаче: 0.91;</li> <li>Гарантия: 3 года.</li> </ul></div>",u,"2 562,56",UAH,шт,https://images.ua.prom.st/494631744_w640_h640_cid1051305_pid347436669-677c7fe0.jpg,+,971724736
Деревянная трехсекционная чердачная лестница FAKRO LWK Komfort 130х60,Чердачные лестницы FAKRO,"<div data-qaid=""product_description"" itemprop=""description""><p>Складная деревянная лестница на чердак Fakro LWK Komfort – это модель с тремя секциями, которые достаточно компактны, чтобы храниться в потолке. Для того, чтобы обезопасить пользователя во время эксплуатации, сбоку  --- LWK Komfort установлен металлический поручень, а на ножках есть специальные резиновые наконечники, которые предотвратят повреждение пола и сделают лестницу еще устойчивее. За счет того, что термоизоляционная крышка люка имеет белый цвет, она станет незаметной на светлом потолке. </p> <p>Боковые направляющие и ступеньки лестницы соединены по типу “ласточкин хвост”, что обеспечивает прочную и надежную конструкцию. Крышка лестницы не соприкачается со ступеньками, а антискользящие насечки гарантируют безопасное использование. В комплекте с крепежнымы элементами  --- поставляется специальный трафарет и угловые петли-шарниры, которые дают возможность точно откорректировать высоту конструкции до необходимого размера.</p> <h2>Технические характеристики лестницы LWK Komfort:</h2> <ul> <li>Максимальная высота помещения, см: 305;</li> <li>Максимальный вынос лестницы, см: 130;</li> <li>Радиус открывания лестницы, см: 179;</li> <li>Высота лестницы в закрытом положении, см: 34;</li> <li>Допустимая нагрузка, кг: 160;</li> <li>Крышка – панель типа «сэндвич», мм: 360;</li> <li>Наличие прокладки на коробке: да;</li> <li>Высота короба, мм: 140;</li> <li>Цвет крышки люка: белый;</li> <li>Сопротивление теплопередаче: 0.91;</li> <li>Гарантия: 3 года.</li> </ul></div>",u,"3 981,12",UAH,шт,https://images.ua.prom.st/494631774_w640_h640_cid1051305_pid347436677-cc602fef.jpg,+,648927098
Деревянная трехсекционная чердачная лестница FAKRO LWS Smart 130х60,Чердачные лестницы FAKRO,"<div data-qaid=""product_description"" itemprop=""description""><h2>Трехсекционная чердачная лестница FAKRO LWS Smart</h2> <p>Складная чердачная лестница  --- LWS Smart – это модель с трехсегментной лестницей и крышкой с термоизоляционными свойствами. Данная лестница впишется в любой интерьер, так как ее можно окрасить или оклеить в любой цвет и текстуру. </p> <h3>Комплектация лестницы на чердак Fakro LWS Smart:</h3> <ul> <li>крышка бежевого цвета;</li> <li>контурный уплотнитель;</li> <li>ступеньки с противоскользящими засечками;</li> <li>возможен монтаж дополнительных аксессуаров.</li> </ul> <p>При покупке Вы получаете уже полностью собранную лестницу, готовую к монтажу в перекрытие.</p> <h3>Технические характеристики:</h3> <ul> <li>Максимальная высота помещения, см: 305;</li> <li>Максимальный вынос лестницы, см: 130;</li> <li>Радиус открывания лестницы, см: 179;</li> <li>Высота  --- в закрытом положении, см: 34;</li> <li>Допустимая нагрузка, кг: 160;</li> <li>Крышка – панель типа «сэндвич», мм: 360;</li> <li>Наличие прокладки на коробке: да;</li> <li>Высота короба, мм: 140;</li> <li>Цвет крышки люка: не окрашена;</li> <li>Сопротивление теплопередаче: 0.91;</li> <li>Гарантия: 3 года.</li> </ul></div>",u,"3 798,08",UAH,шт,https://images.ua.prom.st/494631750_w640_h640_cid1051305_pid347436671-cf745a1e.jpg,+,614586241
Деревянная четырехсекционная чердачная лестница FAKRO LWK Komfort 130х70  (325 см.),Чердачные лестницы FAKRO,"<div data-qaid=""product_description"" itemprop=""description""><p>Складная   --- LWK Komfort – это модель с четырьмя секциями, которые достаточно компактны, чтобы храниться в потолке. Для того, чтобы обезопасить пользователя во время эксплуатации, сбоку лестницы LWK Komfort установлен металлический поручень, а на ножках есть специальные резиновые наконечники, которые предотвратят повреждение пола и сделают лестницу еще устойчивее. За счет того, что термоизоляционная крышка люка имеет белый цвет, она станет незаметной на светлом потолке. </p> <p>Боковые направляющие и ступеньки  чердачной лестницы соединены по типу “ласточкин хвост”, что обеспечивает прочную и надежную конструкцию. Крышка  --- не соприкачается со ступеньками. В комплекте с крепежнымы элементами лестницы поставляется специальный трафарет и угловые петли-шарниры, которые дают возможность точно откорректировать высоту конструкции до необходимого размера.</p> <h2>Технические характеристики лестницы LWK Komfort:</h2> <ul> <li>Максимальная высота помещения, см: 325;</li> <li>Максимальный вынос лестницы, см: 130;</li> <li>Радиус открывания лестницы, см: 179;</li> <li>Высота лестницы в закрытом положении, см: 34;</li> <li>Допустимая нагрузка, кг: 160;</li> <li>Крышка – панель типа «сэндвич», мм: 360;</li> <li>Наличие прокладки на коробке: да;</li> <li>Высота короба, мм: 140;</li> <li>Цвет крышки люка: белый;</li> <li>Сопротивление теплопередаче: 0.91;</li> <li>Гарантия: 3 года.</li> </ul></div>",u,"5 170,88",UAH,шт,https://images.ua.prom.st/494631785_w640_h640_cid1051305_pid347436679-3c756d3f.jpg,+,878717320
Деревянная трехсекционная чердачная лестница FAKRO LTK Thermo 120х70,Чердачные лестницы FAKRO,"<div data-qaid=""product_description"" itemprop=""description""><h2>Трехсекционная чердачная лестница FAKRO LTK Termo</h2> <p>Чердачная лестница Fakro LTK Thermo создана из высококачественной сосны, а ее крышка обладает повышенными теплоизоляционными свойствами. Предназначается эта модель для домов с неотапливаемыми чердаками, так как термоизоляционные возможности крышки не позволят холоду проникнуть в помещение.  --- имеет три секции, они достаточно компактны в сложенном виде и “хранятся в потолке”.</p> <p>Для того, чтобы обезопасить пользователя во время эксплуатации, сбоку чердачной лестницы LTK Thermo установлен металлический поручень, а на ножках есть специальные резиновые наконечники, которые предотвратят повреждение пола и сделают  --- еще устойчивее. За счет того, что термоизоляционная крышка люка имеет белый цвет, она станет незаметной на светлом потолке. </p> <p>Боковые направляющие и ступеньки лестницы соединены по типу “ласточкин хвост”, что обеспечивает прочную и надежную конструкцию. Крышка лестницы не соприкачается со ступеньками, а антискользящие насечки гарантируют безопасное использование.</p> <h3>Технические характеристики:</h3> <ul> <li>Максимальная высота помещения, см: 280;</li> <li>Максимальный вынос лестницы, см: 167;</li> <li>Радиус открывания лестницы, см: 121;</li> <li>Высота лестницы в закрытом положении, см: 37;</li> <li>Допустимая нагрузка, кг: 160;</li> <li>Крышка – панель типа «сэндвич», мм: 360;</li> <li>Наличие прокладки на коробке: да;</li> <li>Высота короба, мм: 140;</li> <li>Цвет крышки люка: белый;</li> <li>Сопротивление теплопередаче: 1,32;</li> <li>Гарантия: 3 года.</li> </ul></div>",u,"4 370,08",UAH,шт,https://images.ua.prom.st/494631793_w640_h640_cid1051305_pid347436681-4596ff5e.jpg,+,728999628
Деревянная четырехсекционная чердачная лестница FAKRO LWS Smart 130х70 (325 см.),Чердачные лестницы FAKRO,"<div data-qaid=""product_description"" itemprop=""description""><h2>Четырехсекционная чердачная лестница FAKRO LWS Smart</h2> <p>Складная  --- Fakro LWS Smart – это модель с четырехсегментной лестницей и крышкой с термоизоляционными свойствами. Данная лестница впишется в любой интерьер, так как ее можно окрасить или оклеить в любой цвет и текстуру. </p> <h3>Комплектация лестницы на чердак Fakro LWS Smart:</h3> <ul> <li>крышка бежевого цвета;</li> <li>контурный уплотнитель;</li> <li>ступеньки с противоскользящими засечками;</li> <li>возможен монтаж дополнительных аксессуаров.</li> </ul> <p>При покупке Вы получаете уже полностью собранную лестницу, готовую к монтажу в перекрытие.</p> <h3>Технические характеристики:</h3> <ul> <li>Максимальная высота помещения, см: 325;</li> <li>Максимальный вынос лестницы, см: 130;</li> <li>Радиус открывания лестницы, см: 179;</li> <li>Высота  --- в закрытом положении, см: 34;</li> <li>Допустимая нагрузка, кг: 160;</li> <li>Крышка – панель типа «сэндвич», мм: 360;</li> <li>Наличие прокладки на коробке: да;</li> <li>Высота короба, мм: 140;</li> <li>Цвет крышки люка: не окрашена;</li> <li>Сопротивление теплопередаче: 0.91;</li> <li>Гарантия: 3 года.</li> </ul></div>",u,"4 850,56",UAH,шт,https://images.ua.prom.st/494631756_w640_h640_cid1051305_pid347436673-d35727be.jpg,+,658129814
Металлическая раздвижная чердачная лестница FAKRO LST 120х70,Чердачные лестницы FAKRO,"<div data-qaid=""product_description"" itemprop=""description""><h2>Чердачная металлическая лестница Fakro LST</h2> <p> --- LST имеет “ножничную” систему складывания, благодаря чему достаточно компактна в сложенном виде. Модель оснащена энергосберегающей крышкой белого цвета в высокими термоизоляционными свойствами. По периметру люка  --- идет контур уплотнения, который гарантирует отличную герметичность. Роль поручней выполняют S-образные боковые элементы металлической лестницы Fakro LST, одновременно придавая модели современный вид.</p> <p>Лестницу рекомендуется устанавлавить а помещениях с высотой 260-280 см. Если необходимо увеличить высоту лестницы, всегда есть возможность купить ступеньки LSS (при покупке учесть шиирну люка либо ширину ступеньки). Максимально возможное количество дополнительных ступеней – 2.</p> <h2>Технические характеристики лестницы Fakro LST:</h2> <ul> <li>Максимальная высота помещения, см: 280;</li> <li>Максимальный вынос лестницы, см: 150;</li> <li>Радиус открывания лестницы, см: 134-136;</li> <li>Высота лестницы в закрытом положении, см: 38,2;</li> <li>Допустимая нагрузка, кг: 200;</li> <li>Крышка – панель типа «сэндвич», мм: 360;</li> <li>Наличие прокладки на коробке: да;</li> <li>Высота короба, мм: 180;</li> <li>Цвет крышки люка: белый;</li> <li>Сопротивление теплопередаче: 0,91;</li> <li>Гарантия: 3 года.</li> </ul> <iframe allowfullscreen="""" frameborder=""0"" height=""315"" src=""https://www.youtube.com/embed/UWQyTxmYNcU?rel=0&amp;wmode=transparent"" width=""560""></iframe></div>",u,7 410,UAH,шт,https://images.ua.prom.st/494634658_w640_h640_cid1051305_pid347436685-db978319.jpg,+,384721357
